dataset,backbone,attack,defense,pratio,test_acc,test_asr,test_ra
cifar10,efficientnet_b3,badnet,fp,0.1,0.5796999931335449,0.0387777797877788,0.5745555758476257
cifar10,efficientnet_b3,badnet,nad,0.1,0.552899956703186,0.0450000017881393,0.5467777848243713
cifar10,efficientnet_b3,badnet,nc,0.1,0.5748000144958496,0.0953333377838134,0.5557777881622314
cifar10,efficientnet_b3,badnet,anp,0.1,0.5748000144958496,0.0953333377838134,0.5557777881622314
cifar10,efficientnet_b3,badnet,ac,0.1,0.397599995136261,0.1727777868509292,0.3651111125946045
cifar10,efficientnet_b3,badnet,spectral,0.1,0.3763999938964844,0.1550000011920929,0.3611111044883728
cifar10,efficientnet_b3,badnet,abl,0.1,0.3643999993801117,0.0851111114025116,0.362888902425766
cifar10,efficientnet_b3,badnet,dbd,0.1,0.5443999767303467,0.9425555467605592,0.0391111113131046
cifar10,efficientnet_b3,badnet,clp,0.1,,,
cifar10,efficientnet_b3,badnet,d-br,0.1,,,
cifar10,efficientnet_b3,badnet,d-st,0.1,,,
cifar10,efficientnet_b3,badnet,dde,0.1,,,
cifar10,efficientnet_b3,badnet,i-bau,0.1,,,
cifar10,efficientnet_b3,badnet,mbns,0.1,,,
cifar10,mobilenet_v3_large,badnet,nodefense,0.1,0.8245,0.9338888888888888,0.0584444366395473
cifar10,mobilenet_v3_large,badnet,ft,0.1,0.7798999547958374,0.0300000011920928,0.7699999809265137
cifar10,mobilenet_v3_large,badnet,fp,0.1,0.8235999941825867,0.9396666884422302,0.0532222241163253
cifar10,mobilenet_v3_large,badnet,nad,0.1,0.7901999950408936,0.0456666685640811,0.7622222304344177
cifar10,mobilenet_v3_large,badnet,nc,0.1,0.7518999576568604,0.0253333337604999,0.7462222576141357
cifar10,mobilenet_v3_large,badnet,anp,0.1,0.8203999996185303,0.037222221493721,0.8086666464805603
cifar10,mobilenet_v3_large,badnet,ac,0.1,0.7045999765396118,0.8997777700424194,0.0776666700839996
cifar10,mobilenet_v3_large,badnet,spectral,0.1,0.7811999917030334,0.928333342075348,0.0593333318829536
cifar10,mobilenet_v3_large,badnet,abl,0.1,0.7656999826431274,0.8358889222145081,0.1333333402872085
cifar10,mobilenet_v3_large,badnet,dbd,0.1,0.5720999836921692,0.8684444427490234,0.0966666713356971
cifar10,mobilenet_v3_large,badnet,clp,0.1,,,
cifar10,mobilenet_v3_large,badnet,d-br,0.1,,,
cifar10,mobilenet_v3_large,badnet,d-st,0.1,,,
cifar10,mobilenet_v3_large,badnet,dde,0.1,,,
cifar10,mobilenet_v3_large,badnet,i-bau,0.1,,,
cifar10,mobilenet_v3_large,badnet,mbns,0.1,,,
cifar10,densenet161,badnet,nodefense,0.1,0.8433,0.8967777777777778,0.0909999907016754
cifar10,densenet161,badnet,ft,0.1,0.8359000086784363,0.3269999921321869,0.5686666965484619
cifar10,densenet161,badnet,fp,0.1,0.8515999913215637,0.8751111030578613,0.1081111133098602
cifar10,densenet161,badnet,nad,0.1,0.8227999806404114,0.687333345413208,0.2646666765213012
cifar10,densenet161,badnet,nc,0.1,0.8309999704360962,0.0184444449841976,0.823555588722229
cifar10,densenet161,badnet,anp,0.1,0.7652999758720398,0.0028888888191431,0.7992222309112549
cifar10,densenet161,badnet,ac,0.1,0.7317000031471252,0.7932222485542297,0.1660000085830688
cifar10,densenet161,badnet,spectral,0.1,0.8112999796867371,0.8771111369132996,0.1058888882398605
cifar10,densenet161,badnet,abl,0.1,0.7631999850273132,0.0102222226560115,0.7937777638435364
cifar10,densenet161,badnet,dbd,0.1,0.6740999817848206,0.1523333340883255,0.6412222385406494
cifar10,densenet161,badnet,clp,0.1,,,
cifar10,densenet161,badnet,d-br,0.1,,,
cifar10,densenet161,badnet,d-st,0.1,,,
cifar10,densenet161,badnet,dde,0.1,,,
cifar10,densenet161,badnet,i-bau,0.1,,,
cifar10,densenet161,badnet,mbns,0.1,,,
cifar10,preactresnet18,blended,nodefense,0.1,0.9347,0.9992222222222222,0.000777777750045
cifar10,preactresnet18,blended,ft,0.1,0.9277999997138976,0.9611111283302308,0.0356666669249534
cifar10,preactresnet18,blended,fp,0.1,0.9316999912261964,0.992555558681488,0.0073333336040377
cifar10,preactresnet18,blended,nad,0.1,0.9217000007629396,0.97688889503479,0.0214444454759359
cifar10,preactresnet18,blended,nc,0.1,0.9346999526023864,0.999222218990326,0.0007777778082527
cifar10,preactresnet18,blended,anp,0.1,0.8657999634742737,0.0218888893723487,0.6116666793823242
cifar10,preactresnet18,blended,ac,0.1,0.8851999640464783,0.9972222447395324,0.0027777778450399
cifar10,preactresnet18,blended,spectral,0.1,0.903499960899353,0.998444437980652,0.0014444444095715
cifar10,preactresnet18,blended,abl,0.1,0.7730000019073486,0.0073333336040377,0.6452222466468811
cifar10,preactresnet18,blended,dbd,0.1,0.6990999579429626,0.9997777938842772,0.0002222222246928
cifar10,preactresnet18,blended,clp,0.1,,,
cifar10,preactresnet18,blended,d-br,0.1,,,
cifar10,preactresnet18,blended,d-st,0.1,,,
cifar10,preactresnet18,blended,dde,0.1,,,
cifar10,preactresnet18,blended,i-bau,0.1,,,
cifar10,preactresnet18,blended,mbns,0.1,,,
cifar10,vgg19_bn,blended,nodefense,0.1,,,
cifar10,vgg19_bn,blended,ft,0.1,,,
cifar10,vgg19_bn,blended,fp,0.1,,,
cifar10,vgg19_bn,blended,nad,0.1,,,
cifar10,vgg19_bn,blended,nc,0.1,,,
cifar10,vgg19_bn,blended,anp,0.1,,,
cifar10,vgg19_bn,blended,ac,0.1,,,
cifar10,vgg19_bn,blended,spectral,0.1,,,
cifar10,vgg19_bn,blended,abl,0.1,,,
cifar10,vgg19_bn,blended,dbd,0.1,,,
cifar10,vgg19_bn,blended,clp,0.1,,,
cifar10,vgg19_bn,blended,d-br,0.1,,,
cifar10,vgg19_bn,blended,d-st,0.1,,,
cifar10,vgg19_bn,blended,dde,0.1,,,
cifar10,vgg19_bn,blended,i-bau,0.1,,,
cifar10,vgg19_bn,blended,mbns,0.1,,,
cifar10,convnext_tiny,blended,nodefense,0.1,,,
cifar10,convnext_tiny,blended,ft,0.1,,,
cifar10,convnext_tiny,blended,fp,0.1,,,
cifar10,convnext_tiny,blended,nad,0.1,,,
cifar10,convnext_tiny,blended,nc,0.1,,,
cifar10,convnext_tiny,blended,anp,0.1,,,
cifar10,convnext_tiny,blended,ac,0.1,,,
cifar10,convnext_tiny,blended,spectral,0.1,,,
cifar10,convnext_tiny,blended,abl,0.1,,,
cifar10,convnext_tiny,blended,dbd,0.1,,,
cifar10,convnext_tiny,blended,clp,0.1,,,
cifar10,convnext_tiny,blended,d-br,0.1,,,
cifar10,convnext_tiny,blended,d-st,0.1,,,
cifar10,convnext_tiny,blended,dde,0.1,,,
cifar10,convnext_tiny,blended,i-bau,0.1,,,
cifar10,convnext_tiny,blended,mbns,0.1,,,
cifar10,vit_b_16,blended,nodefense,0.1,,,
cifar10,vit_b_16,blended,ft,0.1,,,
cifar10,vit_b_16,blended,fp,0.1,,,
cifar10,vit_b_16,blended,nad,0.1,,,
cifar10,vit_b_16,blended,nc,0.1,,,
cifar10,vit_b_16,blended,anp,0.1,,,
cifar10,vit_b_16,blended,ac,0.1,,,
cifar10,vit_b_16,blended,spectral,0.1,,,
cifar10,vit_b_16,blended,abl,0.1,,,
cifar10,vit_b_16,blended,dbd,0.1,,,
cifar10,vit_b_16,blended,clp,0.1,,,
cifar10,vit_b_16,blended,d-br,0.1,,,
cifar10,vit_b_16,blended,d-st,0.1,,,
cifar10,vit_b_16,blended,dde,0.1,,,
cifar10,vit_b_16,blended,i-bau,0.1,,,
cifar10,vit_b_16,blended,mbns,0.1,,,
cifar10,efficientnet_b3,blended,nodefense,0.1,0.6511,0.8775555555555555,0.0801111161708831
cifar10,efficientnet_b3,blended,ft,0.1,0.6115999817848206,0.0860000029206276,0.4465555548667907
cifar10,efficientnet_b3,blended,fp,0.1,0.6520999670028687,0.5903333425521851,0.2414444535970688
cifar10,efficientnet_b3,blended,nad,0.1,0.6275999546051025,0.1185555532574653,0.4632222354412079
cifar10,efficientnet_b3,blended,nc,0.1,0.599299967288971,0.0386666655540466,0.5180000066757202
cifar10,efficientnet_b3,blended,anp,0.1,0.6510999798774719,0.8775555491447449,0.0801111087203025
cifar10,efficientnet_b3,blended,ac,0.1,0.34579998254776,0.633222222328186,0.1587777733802795
cifar10,efficientnet_b3,blended,spectral,0.1,0.536799967288971,0.7081111073493958,0.1757777780294418
cifar10,efficientnet_b3,blended,abl,0.1,0.1814000010490417,0.0191111117601394,0.1551111191511154
cifar10,efficientnet_b3,blended,dbd,0.1,0.5209999680519104,0.9994444847106934,0.0004444444493856
cifar10,efficientnet_b3,blended,clp,0.1,,,
cifar10,efficientnet_b3,blended,d-br,0.1,,,
cifar10,efficientnet_b3,blended,d-st,0.1,,,
cifar10,efficientnet_b3,blended,dde,0.1,,,
cifar10,efficientnet_b3,blended,i-bau,0.1,,,
cifar10,efficientnet_b3,blended,mbns,0.1,,,
cifar10,mobilenet_v3_large,blended,nodefense,0.1,0.8343,0.9875555555555556,0.011333336122334
cifar10,mobilenet_v3_large,blended,ft,0.1,0.7893999814987183,0.1226666644215583,0.5393333435058594
cifar10,mobilenet_v3_large,blended,fp,0.1,0.8312999606132507,0.014555555768311,0.1952222287654876
cifar10,mobilenet_v3_large,blended,nad,0.1,0.798799991607666,0.1881111115217209,0.527222216129303
cifar10,mobilenet_v3_large,blended,nc,0.1,0.7759000062942505,0.0353333353996276,0.6572222113609314
cifar10,mobilenet_v3_large,blended,anp,0.1,0.7555999755859375,0.9502222537994384,0.0396666675806045
cifar10,mobilenet_v3_large,blended,ac,0.1,0.7148000001907349,0.9507777690887452,0.0333333350718021
cifar10,mobilenet_v3_large,blended,spectral,0.1,0.7917999625205994,0.9815555810928344,0.0145555585622787
cifar10,mobilenet_v3_large,blended,abl,0.1,0.7599999904632568,0.7902222275733948,0.1563333421945572
cifar10,mobilenet_v3_large,blended,dbd,0.1,0.5166999697685242,0.9964444637298584,0.0031111112330108
cifar10,mobilenet_v3_large,blended,clp,0.1,,,
cifar10,mobilenet_v3_large,blended,d-br,0.1,,,
cifar10,mobilenet_v3_large,blended,d-st,0.1,,,
cifar10,mobilenet_v3_large,blended,dde,0.1,,,
cifar10,mobilenet_v3_large,blended,i-bau,0.1,,,
cifar10,mobilenet_v3_large,blended,mbns,0.1,,,
cifar10,densenet161,blended,nodefense,0.1,0.8637,0.9878888888888888,0.0104444483295083
cifar10,densenet161,blended,ft,0.1,0.8438999652862549,0.8183333277702332,0.1474444419145584
cifar10,densenet161,blended,fp,0.1,0.859499990940094,0.9897778034210204,0.0087777776643633
cifar10,densenet161,blended,nad,0.1,0.836899995803833,0.7282222509384155,0.1959999948740005
cifar10,densenet161,blended,nc,0.1,0.8316999673843384,0.010111111216247,0.7290000319480896
cifar10,densenet161,blended,anp,0.1,0.7892999649047852,0.020555555820465,0.659333348274231
cifar10,densenet161,blended,ac,0.1,0.7544999718666077,0.9431111216545104,0.0423333346843719
cifar10,densenet161,blended,spectral,0.1,0.8205999732017517,0.9701111316680908,0.0244444496929645
cifar10,densenet161,blended,abl,0.1,0.6780999898910522,0.0215555559843778,0.7327777743339539
cifar10,densenet161,blended,dbd,0.1,0.56659996509552,0.9953333735466005,0.0040000001899898
cifar10,densenet161,blended,clp,0.1,,,
cifar10,densenet161,blended,d-br,0.1,,,
cifar10,densenet161,blended,d-st,0.1,,,
cifar10,densenet161,blended,dde,0.1,,,
cifar10,densenet161,blended,i-bau,0.1,,,
cifar10,densenet161,blended,mbns,0.1,,,
cifar10,preactresnet18,lc,nodefense,0.1,0.8459,0.9992222222222222,0.0006666666595265
cifar10,preactresnet18,lc,ft,0.1,0.90829998254776,0.113444447517395,0.5957778096199036
cifar10,preactresnet18,lc,fp,0.1,0.8952999711036682,0.0044444445520639,0.133222222328186
cifar10,preactresnet18,lc,nad,0.1,0.9053999781608582,0.1127777770161628,0.5956666469573975
cifar10,preactresnet18,lc,nc,0.1,0.9042999744415284,0.0698888897895813,0.6200000047683716
cifar10,preactresnet18,lc,anp,0.1,0.8215999603271484,0.0481111109256744,0.4964444637298584
cifar10,preactresnet18,lc,ac,0.1,0.8138999938964844,0.9896667003631592,0.0078888889402151
cifar10,preactresnet18,lc,spectral,0.1,0.8392999768257141,0.9950000047683716,0.0046666669659316
cifar10,preactresnet18,lc,abl,0.1,0.7184000015258789,0.0,0.5852222442626953
cifar10,preactresnet18,lc,dbd,0.1,,,
cifar10,preactresnet18,lc,clp,0.1,,,
cifar10,preactresnet18,lc,d-br,0.1,,,
cifar10,preactresnet18,lc,d-st,0.1,,,
cifar10,preactresnet18,lc,dde,0.1,,,
cifar10,preactresnet18,lc,i-bau,0.1,,,
cifar10,preactresnet18,lc,mbns,0.1,,,
cifar10,vgg19_bn,lc,nodefense,0.1,,,
cifar10,vgg19_bn,lc,ft,0.1,,,
cifar10,vgg19_bn,lc,fp,0.1,,,
cifar10,vgg19_bn,lc,nad,0.1,,,
cifar10,vgg19_bn,lc,nc,0.1,,,
cifar10,vgg19_bn,lc,anp,0.1,,,
cifar10,vgg19_bn,lc,ac,0.1,,,
cifar10,vgg19_bn,lc,spectral,0.1,,,
cifar10,vgg19_bn,lc,abl,0.1,,,
cifar10,vgg19_bn,lc,dbd,0.1,,,
cifar10,vgg19_bn,lc,clp,0.1,,,
cifar10,vgg19_bn,lc,d-br,0.1,,,
cifar10,vgg19_bn,lc,d-st,0.1,,,
cifar10,vgg19_bn,lc,dde,0.1,,,
cifar10,vgg19_bn,lc,i-bau,0.1,,,
cifar10,vgg19_bn,lc,mbns,0.1,,,
cifar10,convnext_tiny,lc,nodefense,0.1,,,
cifar10,convnext_tiny,lc,ft,0.1,,,
cifar10,convnext_tiny,lc,fp,0.1,,,
cifar10,convnext_tiny,lc,nad,0.1,,,
cifar10,convnext_tiny,lc,nc,0.1,,,
cifar10,convnext_tiny,lc,anp,0.1,,,
cifar10,convnext_tiny,lc,ac,0.1,,,
cifar10,convnext_tiny,lc,spectral,0.1,,,
cifar10,convnext_tiny,lc,abl,0.1,,,
cifar10,convnext_tiny,lc,dbd,0.1,,,
cifar10,convnext_tiny,lc,clp,0.1,,,
cifar10,convnext_tiny,lc,d-br,0.1,,,
cifar10,convnext_tiny,lc,d-st,0.1,,,
cifar10,convnext_tiny,lc,dde,0.1,,,
cifar10,convnext_tiny,lc,i-bau,0.1,,,
cifar10,convnext_tiny,lc,mbns,0.1,,,
cifar10,vit_b_16,lc,nodefense,0.1,,,
cifar10,vit_b_16,lc,ft,0.1,,,
cifar10,vit_b_16,lc,fp,0.1,,,
cifar10,vit_b_16,lc,nad,0.1,,,
cifar10,vit_b_16,lc,nc,0.1,,,
cifar10,vit_b_16,lc,anp,0.1,,,
cifar10,vit_b_16,lc,ac,0.1,,,
cifar10,vit_b_16,lc,spectral,0.1,,,
cifar10,vit_b_16,lc,abl,0.1,,,
cifar10,vit_b_16,lc,dbd,0.1,,,
cifar10,vit_b_16,lc,clp,0.1,,,
cifar10,vit_b_16,lc,d-br,0.1,,,
cifar10,vit_b_16,lc,d-st,0.1,,,
cifar10,vit_b_16,lc,dde,0.1,,,
cifar10,vit_b_16,lc,i-bau,0.1,,,
cifar10,vit_b_16,lc,mbns,0.1,,,
cifar10,efficientnet_b3,lc,nodefense,0.1,0.6209,0.0161111111111111,0.4772222936153412
cifar10,efficientnet_b3,lc,ft,0.1,0.6024999618530273,0.0771111100912094,0.418333351612091
cifar10,efficientnet_b3,lc,fp,0.1,0.642300009727478,0.0617777779698371,0.4547777771949768
cifar10,efficientnet_b3,lc,nad,0.1,0.6279000043869019,0.0662222206592559,0.4345555603504181
cifar10,efficientnet_b3,lc,nc,0.1,0.6209999918937683,0.0161111112684011,0.4773333370685577
cifar10,efficientnet_b3,lc,anp,0.1,0.6209999918937683,0.0161111112684011,0.4773333370685577
cifar10,efficientnet_b3,lc,ac,0.1,0.3980999886989593,0.0021111110690981,0.3937777876853943
cifar10,efficientnet_b3,lc,spectral,0.1,0.4769999980926513,0.0010000000474974,0.4264444708824157
cifar10,efficientnet_b3,lc,abl,0.1,0.2043999880552292,0.0,0.1962222307920456
cifar10,efficientnet_b3,lc,dbd,0.1,0.6013000011444092,0.0,0.5302222371101379
cifar10,efficientnet_b3,lc,clp,0.1,,,
cifar10,efficientnet_b3,lc,d-br,0.1,,,
cifar10,efficientnet_b3,lc,d-st,0.1,,,
cifar10,efficientnet_b3,lc,dde,0.1,,,
cifar10,efficientnet_b3,lc,i-bau,0.1,,,
cifar10,efficientnet_b3,lc,mbns,0.1,,,
cifar10,mobilenet_v3_large,lc,nodefense,0.1,0.7553,0.9866666666666668,0.0084444433450698
cifar10,mobilenet_v3_large,lc,ft,0.1,0.7653999924659729,0.06700000166893,0.4944444596767425
cifar10,mobilenet_v3_large,lc,fp,0.1,0.8078999519348145,0.001333333319053,0.1180000007152557
cifar10,mobilenet_v3_large,lc,nad,0.1,0.7810999751091003,0.0649999976158142,0.4993333518505096
cifar10,mobilenet_v3_large,lc,nc,0.1,0.761900007724762,0.0607777796685695,0.4987777769565582
cifar10,mobilenet_v3_large,lc,anp,0.1,0.7271999716758728,0.0,0.5245555639266968
cifar10,mobilenet_v3_large,lc,ac,0.1,0.660099983215332,0.9505555629730223,0.0273333340883255
cifar10,mobilenet_v3_large,lc,spectral,0.1,0.7231000065803528,0.9845555424690248,0.008666668087244
cifar10,mobilenet_v3_large,lc,abl,0.1,0.673799991607666,0.9998888969421388,0.0001111111123464
cifar10,mobilenet_v3_large,lc,dbd,0.1,0.5670999884605408,0.0,0.4944444596767425
cifar10,mobilenet_v3_large,lc,clp,0.1,,,
cifar10,mobilenet_v3_large,lc,d-br,0.1,,,
cifar10,mobilenet_v3_large,lc,d-st,0.1,,,
cifar10,mobilenet_v3_large,lc,dde,0.1,,,
cifar10,mobilenet_v3_large,lc,i-bau,0.1,,,
cifar10,mobilenet_v3_large,lc,mbns,0.1,,,
cifar10,densenet161,lc,nodefense,0.1,0.7868,0.7805555555555556,0.1387777626514434
cifar10,densenet161,lc,ft,0.1,0.8326999545097351,0.0991111099720001,0.5253333449363708
cifar10,densenet161,lc,fp,0.1,0.839199960231781,0.4147777855396271,0.3656666576862335
cifar10,densenet161,lc,nad,0.1,0.8255999684333801,0.090999998152256,0.5242222547531128
cifar10,densenet161,lc,nc,0.1,0.8119999766349792,0.0768888890743255,0.5192221999168396
cifar10,densenet161,lc,anp,0.1,0.8197000026702881,0.2044444531202316,0.4762222170829773
cifar10,densenet161,lc,ac,0.1,0.7015999555587769,0.1241111159324646,0.4731111228466034
cifar10,densenet161,lc,spectral,0.1,0.7594000101089478,0.6145555377006531,0.2482222467660904
cifar10,densenet161,lc,abl,0.1,0.5956000089645386,0.5184444785118103,0.215333342552185
cifar10,densenet161,lc,dbd,0.1,0.7235999703407288,0.0,0.6076666712760925
cifar10,densenet161,lc,clp,0.1,,,
cifar10,densenet161,lc,d-br,0.1,,,
cifar10,densenet161,lc,d-st,0.1,,,
cifar10,densenet161,lc,dde,0.1,,,
cifar10,densenet161,lc,i-bau,0.1,,,
cifar10,densenet161,lc,mbns,0.1,,,
cifar10,preactresnet18,sig,nodefense,0.1,0.8448,0.9826666666666668,0.0172222238034009
cifar10,preactresnet18,sig,ft,0.1,0.9079999923706056,0.0236666668206453,0.6974444389343262
cifar10,preactresnet18,sig,fp,0.1,0.890999972820282,0.2619999945163727,0.2061111181974411
cifar10,preactresnet18,sig,nad,0.1,0.9001999497413635,0.1065555587410926,0.6420000195503235
cifar10,preactresnet18,sig,nc,0.1,0.8447999954223633,0.9826666712760924,0.0172222219407558
cifar10,preactresnet18,sig,anp,0.1,0.779699981212616,0.0001111111123464,0.4880000054836273
cifar10,preactresnet18,sig,ac,0.1,0.8240999579429626,0.9461111426353456,0.0516666658222675
cifar10,preactresnet18,sig,spectral,0.1,0.8300999999046326,0.9226666688919068,0.0740000009536743
cifar10,preactresnet18,sig,abl,0.1,0.578000009059906,0.0,0.5996666550636292
cifar10,preactresnet18,sig,dbd,0.1,0.6067000031471252,1.0,0.0
cifar10,preactresnet18,sig,clp,0.1,,,
cifar10,preactresnet18,sig,d-br,0.1,,,
cifar10,preactresnet18,sig,d-st,0.1,,,
cifar10,preactresnet18,sig,dde,0.1,,,
cifar10,preactresnet18,sig,i-bau,0.1,,,
cifar10,preactresnet18,sig,mbns,0.1,,,
cifar10,vgg19_bn,sig,nodefense,0.1,,,
cifar10,vgg19_bn,sig,ft,0.1,,,
cifar10,vgg19_bn,sig,fp,0.1,,,
cifar10,vgg19_bn,sig,nad,0.1,,,
cifar10,vgg19_bn,sig,nc,0.1,,,
cifar10,vgg19_bn,sig,anp,0.1,,,
cifar10,vgg19_bn,sig,ac,0.1,,,
cifar10,vgg19_bn,sig,spectral,0.1,,,
cifar10,vgg19_bn,sig,abl,0.1,,,
cifar10,vgg19_bn,sig,dbd,0.1,,,
cifar10,vgg19_bn,sig,clp,0.1,,,
cifar10,vgg19_bn,sig,d-br,0.1,,,
cifar10,vgg19_bn,sig,d-st,0.1,,,
cifar10,vgg19_bn,sig,dde,0.1,,,
cifar10,vgg19_bn,sig,i-bau,0.1,,,
cifar10,vgg19_bn,sig,mbns,0.1,,,
cifar10,convnext_tiny,sig,nodefense,0.1,,,
cifar10,convnext_tiny,sig,ft,0.1,,,
cifar10,convnext_tiny,sig,fp,0.1,,,
cifar10,convnext_tiny,sig,nad,0.1,,,
cifar10,convnext_tiny,sig,nc,0.1,,,
cifar10,convnext_tiny,sig,anp,0.1,,,
cifar10,convnext_tiny,sig,ac,0.1,,,
cifar10,convnext_tiny,sig,spectral,0.1,,,
cifar10,convnext_tiny,sig,abl,0.1,,,
cifar10,convnext_tiny,sig,dbd,0.1,,,
cifar10,convnext_tiny,sig,clp,0.1,,,
cifar10,convnext_tiny,sig,d-br,0.1,,,
cifar10,convnext_tiny,sig,d-st,0.1,,,
cifar10,convnext_tiny,sig,dde,0.1,,,
cifar10,convnext_tiny,sig,i-bau,0.1,,,
cifar10,convnext_tiny,sig,mbns,0.1,,,
cifar10,vit_b_16,sig,nodefense,0.1,,,
cifar10,vit_b_16,sig,ft,0.1,,,
cifar10,vit_b_16,sig,fp,0.1,,,
cifar10,vit_b_16,sig,nad,0.1,,,
cifar10,vit_b_16,sig,nc,0.1,,,
cifar10,vit_b_16,sig,anp,0.1,,,
cifar10,vit_b_16,sig,ac,0.1,,,
cifar10,vit_b_16,sig,spectral,0.1,,,
cifar10,vit_b_16,sig,abl,0.1,,,
cifar10,vit_b_16,sig,dbd,0.1,,,
cifar10,vit_b_16,sig,clp,0.1,,,
cifar10,vit_b_16,sig,d-br,0.1,,,
cifar10,vit_b_16,sig,d-st,0.1,,,
cifar10,vit_b_16,sig,dde,0.1,,,
cifar10,vit_b_16,sig,i-bau,0.1,,,
cifar10,vit_b_16,sig,mbns,0.1,,,
cifar10,efficientnet_b3,sig,nodefense,0.1,0.5814,0.9971111111111112,0.0013333332026377
cifar10,efficientnet_b3,sig,ft,0.1,0.5691999793052673,0.0397777780890464,0.2403333336114883
cifar10,efficientnet_b3,sig,fp,0.1,0.5882999897003174,0.0012222222285345,0.108444444835186
cifar10,efficientnet_b3,sig,nad,0.1,0.5827000141143799,0.0363333337008953,0.2583333253860473
cifar10,efficientnet_b3,sig,nc,0.1,0.5814999938011169,0.9971111416816713,0.001333333319053
cifar10,efficientnet_b3,sig,anp,0.1,0.5814999938011169,0.9971111416816713,0.001333333319053
cifar10,efficientnet_b3,sig,ac,0.1,0.46069997549057,0.9915555715560912,0.0025555556640028
cifar10,efficientnet_b3,sig,spectral,0.1,0.5263999700546265,0.9814444780349731,0.0075555560179054
cifar10,efficientnet_b3,sig,abl,0.1,0.1178999990224838,0.0957777798175811,0.3202222287654876
cifar10,efficientnet_b3,sig,dbd,0.1,0.4548999965190887,0.9995555877685548,0.0004444444493856
cifar10,efficientnet_b3,sig,clp,0.1,,,
